Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1.0,0.795724,0.977217,0.864154,0.978297,0.236599,0.86637
0.965622,0.821259,0.968596,0.872918,0.971619,0.419593,0.904232
0.956265,0.88361,0.974138,0.900964,0.989983,0.454713,0.750557
0.94406,0.819477,1.0,0.899211,0.96995,0.608133,0.253898
0.94284,0.828979,0.937192,0.875548,0.913189,0.548983,0.654788
0.941212,0.862233,0.939655,0.921998,0.93823,0.439926,0.755011
0.913344,0.823634,0.91564,0.884312,0.941569,0.44732,0.821826
0.906021,0.773753,0.958744,0.899211,0.959933,0.563771,0.837416
0.900122,0.81057,0.926724,0.910605,0.958264,0.480591,0.67706
0.893613,0.817102,0.908251,0.890447,0.871452,0.404806,0.494432
0.889951,0.814727,0.953202,0.907975,0.913189,0.567468,0.636971
0.877543,0.614014,0.887315,0.843996,0.914858,0.219963,0.198218
0.871847,0.75772,0.895936,0.90184,0.602671,0.436229,0.173719
0.86188,0.955463,0.910714,0.886941,0.861436,0.312384,0.694878
0.821603,0.85095,0.897167,0.765995,0.741235,0.471349,0.276169
0.813466,0.753563,0.91564,0.80631,0.746244,0.038817,0.071269
0.807974,0.892518,0.80665,0.72305,0.981636,0.438078,0.396437
0.787836,0.771971,0.935961,0.875548,0.924875,0.64695,0.327394
0.761188,0.635392,0.814655,0.754601,0.706177,0.090573,0.153675
0.760578,0.786223,0.906404,0.915863,0.711185,0.158965,0.398664
0.730879,0.812352,0.880542,0.801052,0.569282,0.401109,0.207127
0.730472,0.688242,0.84298,0.80631,0.579299,0.299445,0.115813
0.728845,0.475059,0.781404,0.653812,0.876461,0.277264,0.164811
0.716436,0.833135,0.835591,0.696757,0.716194,0.101664,0.285078
0.716233,1.0,0.808498,0.763365,0.90985,0.360444,0.363029
0.712164,0.763658,0.913793,0.930762,0.587646,0.236599,0.167038
0.705452,0.682304,0.887931,0.797546,0.844741,0.155268,0.111359
0.70118,0.5962,0.886084,0.702892,0.634391,0.136784,0.182628
0.699756,0.667458,0.902094,0.780894,0.856427,0.18854,0.325167
0.69345,0.933492,0.900862,1.0,0.911519,0.454713,1.0
0.691619,0.471496,0.764778,0.691499,0.701169,0.125693,0.155902
0.665582,0.584917,0.868227,0.737073,0.767947,0.136784,0.066815
0.664158,0.747031,0.937808,0.835232,0.924875,0.219963,0.11804
0.661513,0.412114,0.815887,0.731814,0.709516,0.323475,0.273942
0.660496,0.523753,0.758621,0.66433,0.799666,0.438078,0.004454
0.657648,0.648456,0.881773,0.77213,0.769616,0.075786,0.10245
0.654394,0.690024,0.758621,0.72305,0.754591,0.107209,0.002227
0.649512,0.75,0.753079,0.913234,0.661102,0.304991,0.082405
0.64585,0.541568,0.807882,0.760736,0.814691,0.186691,0.184855
0.644426,0.890736,0.812192,0.708151,0.806344,0.216266,0.207127
0.641782,0.623515,0.867611,0.725679,0.913189,0.617375,0.053452
0.62795,0.704869,0.902094,0.711656,0.42404,0.092421,0.13363
0.618796,0.772565,0.750616,0.907975,0.248748,0.277264,0.115813
0.618389,0.734561,0.940887,0.765995,0.809683,0.144177,0.349666
0.601302,0.696556,0.928571,0.638913,0.66778,0.22366,0.2049
0.595199,0.460808,0.744458,0.618755,0.836394,0.207024,0.13363
0.590928,0.713183,0.868227,0.725679,0.315526,0.103512,0.035635
0.569569,0.402019,0.545567,0.468887,0.505843,0.360444,0.209354
0.568552,0.702494,0.894089,0.636284,0.540902,0.10536,0.060134
0.565094,0.479216,0.796182,0.575811,0.914858,0.170055,0.229399
0.559398,0.5962,0.851601,0.748466,0.45409,0.207024,0.077951
0.524614,0.685867,0.779557,0.801052,0.477462,0.173752,0.040089
0.524207,0.853919,0.78633,0.983348,0.717863,0.430684,0.63029
0.52319,0.602732,0.862685,0.682734,0.813022,0.162662,0.216036
0.515256,0.561164,0.746305,0.740578,0.337229,0.439926,0.004454
0.512612,0.702494,0.837438,0.708151,0.308848,0.107209,0.227171
0.505696,0.725059,0.721059,0.725679,0.831386,0.434381,0.044543
0.490643,0.413302,0.684113,0.214724,0.694491,0.351201,0.082405
0.489829,0.327197,0.885468,0.633655,0.831386,0.508318,0.042316
0.486981,0.624703,0.947044,0.575811,0.641068,0.404806,0.053452
0.479658,0.595012,0.714286,0.687993,0.126878,0.088725,0.244989
0.472335,0.440024,0.828818,0.745837,0.889816,0.225508,0.153675
0.453417,0.482779,0.813424,0.52936,0.746244,0.637708,0.363029
0.445688,0.32601,0.560345,0.290096,0.619366,0.299445,0.073497
0.438975,0.648456,0.93165,0.714286,0.502504,0.103512,0.0
0.435924,0.362827,0.534483,0.425942,0.619366,0.406654,0.080178
0.425346,0.337886,0.497537,0.20333,0.570952,0.238447,0.191537
0.41904,0.264846,0.754926,0.593339,0.716194,0.480591,0.18931
0.417616,0.497031,0.75431,0.714286,0.622705,0.157116,0.280624
0.412937,0.233373,0.269089,0.34794,0.565943,0.277264,0.173719
0.398495,0.399644,0.491995,0.445223,0.604341,0.147874,0.198218
0.39585,0.627672,0.728448,0.500438,0.475793,0.033272,0.113586
0.375712,0.340855,0.690887,0.558282,1.0,0.382625,0.129176
0.374898,0.390143,0.767857,0.588957,0.358932,0.144177,0.138085
0.371847,0.267221,0.698276,0.500438,0.470785,0.236599,0.151448
0.369203,0.0,0.429803,0.234882,0.916528,0.402957,0.592428
0.363303,0.521971,0.808498,0.418054,0.652755,0.083179,0.115813
0.361066,0.081948,0.476601,0.320771,0.51419,0.301294,0.218263
0.352726,0.196556,0.650246,0.333041,0.409015,0.280961,0.242762
0.34703,0.504751,0.649631,0.714286,0.45576,0.12939,0.13363
0.344793,0.653207,0.518473,0.687993,0.492487,0.452865,0.269488
0.341945,0.225653,0.510468,0.328659,0.537563,0.336414,0.182628
0.338893,0.526128,0.410099,0.659071,0.560935,0.033272,0.356347
0.338283,0.182898,0.578202,0.37511,0.621035,0.451017,0.363029
0.318348,0.055819,0.692734,0.312883,0.432387,0.345656,0.109131
0.312653,0.228622,0.680419,0.269939,0.529215,0.236599,0.106904
0.309398,0.159145,0.517857,0.212095,0.499165,0.419593,0.091314
0.307771,0.563539,0.778941,0.728309,0.767947,0.404806,0.095768
0.30655,0.421615,0.727217,0.486415,0.859766,1.0,0.374165
0.304516,0.207838,0.471675,0.168273,0.27379,0.319778,0.164811
0.300854,0.486936,0.855911,0.647677,0.280467,0.299445,0.013363
0.291497,0.199525,0.636084,0.466258,0.557596,0.340111,0.213808
0.276444,0.481591,0.707512,0.0,0.505843,0.090573,0.291759
0.271766,0.19715,0.658251,0.388256,0.577629,0.419593,0.124722
0.267087,0.542162,0.639778,0.564417,0.385643,0.09427,0.140312
0.255085,0.34323,0.651478,0.373357,0.702838,0.410351,0.184855
0.25061,0.163302,0.352217,0.359334,0.472454,0.280961,0.180401
0.187551,0.027316,0.275246,0.333041,0.350584,0.279113,0.391982
0.164768,0.21734,0.685961,0.379492,0.585977,0.232902,0.18931
0.151343,0.191805,0.423645,0.393514,0.026711,0.728281,0.23608
0.12917,0.618171,0.705049,0.471516,0.742905,0.0,0.213808
0.123881,0.367577,0.232759,0.385627,0.005008,0.565619,0.305122
0.113303,0.11342,0.344828,0.43383,0.722871,0.356747,0.18931
0.107201,0.170428,0.716133,0.405784,0.222037,0.15342,0.162584
0.097844,0.213183,0.437808,0.538124,0.90985,0.354898,0.906459
0.046786,0.015439,0.0,0.092025,0.358932,0.38817,0.069042
0.0,0.18171,0.354064,0.258545,0.0,0.327172,0.193764
